WORDBLOCKNUMBER	WORDTEXT	WORDTYPE	WORDROLE
19	CAP	3	0
19	compound action potential	4	0
28	case report form	4	0
28	CRF	3	0
29	chronic respiratory failure	4	0
29	CRF	3	0
33	corticotropin-release factor	4	0
33	CRF	3	0
40	Ca2+	3	0
40	calcium 2+	4	0
43	EB	3	4
43	Epstein-Barr	0	4
47	endodermal sinus tumor	4	0
47	EST	3	0
50	EST	3	0
50	exercise stress test	4	0
60	LAD	3	0
60	left anterior descending (coronary) artery	4	0
62	laser Doppler	4	0
62	LD	3	0
63	LD	3	1
63	light/dark	0	1
73	periventricular gray	4	0
73	PVG	3	0
83	tissue polypeptide antigen	4	0
83	TPA	3	0
90	air velocity	4	0
90	av	3	0
91	ca	3	0
91	circa	0	0
98	inosine triphosphate	4	0
98	itp	3	0
102	pounds per square inch	4	0
102	psi	3	0
104	s/p	3	0
104	status post	4	0
105	week	0	0
105	weeks	0	0
105	wk	3	0
107	5-HIAA	3	0
107	5-hydroxyindoleacetic acid	4	0
117	dinitrochlorobenzene.	0	4
117	DNCB	3	4
122	follicle-stimulating hormone	4	0
122	FSH	3	0
127	vasoactive intestinal peptide	4	0
127	VIP	3	0
128	vasoactive intestinal polypeptide	4	0
128	VIP	3	0
143	acute heart failure	4	0
143	AHF	3	0
158	CB	3	4
158	Cruveilhier-Baumgarten	0	4
159	carbenicillin	0	4
159	CB	3	4
163	CB	3	0
163	chronic bronchitis	4	0
164	CB	3	0
164	circumflex branch	4	0
165	CB	3	0
165	color blind	4	0
166	CB	3	0
166	conjugated bilirubin	4	0
168	CB	3	0
168	coracobrachialis	0	0
169	C/B	3	0
169	chest-back	0	0
175	CCA	3	0
175	circumflex coronary artery	4	0
180	CH	3	0
180	crown-heel	0	0
186	chondromyxoid fibroma	4	0
186	CMF	3	0
190	Charge Nurse	4	0
190	CN	3	0
191	CN	3	4
191	Crigler-Najjar	0	4
193	child nutrition	4	0
193	CN	3	0
195	CN	3	0
195	congenital nephrosis	4	0
205	carotid sinus massage	4	0
205	CSM	3	0
218	data processing	4	0
218	DP	3	0
224	dense plate	4	0
224	DP	3	0
238	distal pancreatectomy	4	0
238	DP	3	0
240	dorsalis pedis	4	0
240	DP	3	0
245	diphtheria-pertussis-tetanus	0	4
245	DPT	3	4
252	FDP	3	0
252	fibrin degradation products	4	0
254	FDP	3	0
254	flexor digitorum profundus	4	0
260	gastric inhibitory peptide	4	0
260	GIP	3	0
262	Gilbert-Lereboullet	0	4
262	GL	3	4
270	IB	3	0
270	inclusion body	4	0
274	inspiratory reserve capacity	4	0
274	IRC	3	0
277	keratic precipitates	4	0
277	KP	3	0
280	kidney, ureter, and bladder	4	0
280	KUB	3	0
283	LM	3	0
283	longitudinal muscle	4	0
284	LM	3	0
284	lower motor	4	0
290	mC	3	0
290	millicoulomb	0	0
303	NMN	3	4
303	normetanephrine	0	4
313	OB	3	0
313	obliterative bronchiolitis	4	0
314	OB	3	0
314	occult bleeding	4	0
317	OD	3	0
317	optical density	4	0
323	OD	3	0
323	omni die	4	0
328	Pa	3	0
328	pulmonary arterial	4	0
332	PA	3	0
332	prolonged action	4	0
334	PA	3	0
334	pulmonary atresia	4	0
336	PA	3	0
336	passive aggressive	4	0
338	PA	3	0
338	pituitary-adrenal	0	0
339	PA	3	0
339	platelet-associated	0	0
342	PA	3	0
342	pregnancy-associated	0	0
348	Piringer-Kuchinka	0	4
348	PK	3	4
350	P-K	3	4
350	Prausnitz-Kustner	0	4
359	main pancreatic duct	4	0
359	MPD	3	0
366	parietal operculum	4	0
366	PO	3	0
379	paralytic shellfish poisoning	4	0
379	PSP	3	0
383	pregnancy urine	4	0
383	PU	3	0
384	per urethra	4	0
384	PU	3	0
394	RCU	3	0
394	red cell utilization	4	0
395	rd	3	0
395	rutherford	0	0
397	RD	3	4
397	Renon-Delille	0	4
398	RD	3	4
398	Riley-Day	0	4
400	radial deviation	4	0
400	RD	3	0
401	rate difference	4	0
401	RD	3	0
405	RD	3	0
405	resistance determinant	4	0
412	reticulum sarcoma	4	0
412	RSA	3	0
420	RA	3	0
420	right atrial	4	0
421	S3	3	0
421	third heart sound	4	0
432	SD	3	4
432	Shy-Drager	0	4
433	SD	3	4
433	Sprague-Dawley	0	4
438	SD	3	0
438	serologically defined	4	0
447	Sabin-Feldman	0	4
447	SF	3	4
453	SF	3	0
453	shunt flow	4	0
454	SF	3	0
454	sickle cell-hemoglobin F	4	0
455	SF	3	0
455	simian foam-virus	4	0
459	SF	3	0
459	spontaneous fracture	4	0
461	SF	3	0
461	stress formula	4	0
462	SF	3	0
462	superior facet	4	0
471	Sinding Larsen	4	0
471	SL	3	0
472	Sjogren-Larsson	0	4
472	SL	3	4
473	SL	3	4
473	Stein-Leventhal	0	4
474	SL	3	4
474	Strumpell-Lorrain	0	4
479	short leg	4	0
479	SL	3	0
482	SL	3	0
482	small lymphocyte	4	0
483	SL	3	0
483	sound level	4	0
487	SMC	3	0
487	special mouth care	4	0
490	sequentia	0	0
490	sq	3	0
498	somatotropin-releasing hormone	4	0
498	SRH	3	0
505	SSD	3	0
505	succinate semialdehyde dehydrogenase	4	0
516	TDI	3	0
516	toluene 2,4-diisocyanate	4	0
523	tender loving care	4	0
523	TLC	3	0
524	thin-layer chromatography	4	0
524	TLC	3	0
532	tendon transfer	4	0
532	TT	3	0
533	terminal transferase	4	0
533	TT	3	0
534	test tube	4	0
534	TT	3	0
536	tetanus toxoid	4	0
536	TT	3	0
538	tetrazol	0	4
538	TT	3	4
539	thrombin time	4	0
539	TT	3	0
541	tibial tubercule	4	0
541	TT	3	0
542	tibial tuberosity	4	0
542	TT	3	0
543	tilt table	4	0
543	TT	3	0
544	tine test	4	0
544	TT	3	0
545	token test	4	0
545	TT	3	0
546	tolerance test	4	0
546	TT	3	0
547	total thyroxine	4	0
547	TT	3	0
548	total thyroxin	4	0
548	TT	3	0
549	total time	4	0
549	TT	3	0
551	transit time	4	0
551	TT	3	0
553	TT	3	0
553	tube thoracostomy	4	0
556	transurethral resection, prostate	4	0
556	TURP	3	0
557	Va	3	0
557	ventilation, alveolar	4	0
560	alveolar volume	4	0
560	VA	3	0
561	anatomical volume	4	0
561	VA	3	0
562	VA	3	0
562	ventralis anterior	4	0
564	VA	3	4
564	volume-average	0	4
568	VEP	3	0
568	visual evoked potential	4	0
572	vision, right	4	0
572	VR	3	0
573	female sex chromosome	4	0
573	X	3	0
574	male sex chromosome	4	0
574	Y	3	0
575	Ziehl-Neelsen	0	4
575	ZN	3	4
576	BI	3	0
576	brain injured	4	0
578	DC	3	0
578	Dupuytren contracture	4	0
582	DC	3	4
582	diphenylcyanoarsine	0	4
584	DC	3	0
584	dressing change	4	0
585	DC	3	0
585	diffuse cortical	4	0
589	dose unit	4	0
589	DU	3	0
594	Oppenheim-Urbach	0	4
594	OU	3	4
597	postpartum day	4	0
597	PPD	3	0
604	VD	3	0
604	vertical deviation	4	0
605	VD	3	0
605	vertical divergence	4	0
606	VD	3	0
606	vessel disease	4	0
608	VD	3	0
608	virus diarrhea	4	0
613	vd	3	1
613	voided	0	1
614	m/s velocity	4	0
614	v	3	0
625	H&E	3	0
625	hematoxylin and eosin	4	0
628	hard exudate	4	0
628	HE	3	0
629	HE	3	0
629	high explosive	4	0
630	HE	3	0
630	high exposure	4	0
633	HE	3	0
633	human enteric	4	0
641	MCD	3	0
641	minimal changes disease	4	0
643	major basic protein	4	0
643	MBP	3	0
648	E&M	3	0
648	endocrine and metabolic	4	0
648	endocrine and metabolism	4	0
650	EM	3	4
650	Embden-Meyerhof	0	4
653	EM	3	0
653	erythema migrans	4	0
655	EM	3	0
655	emotionally disturbed	4	0
663	diphtheria, tetanus, pertussis	4	0
663	DTP	3	0
666	early receptor potential	4	0
666	ERP	3	0
667	ERP	3	0
667	event-related potential	4	0
668	FE	3	0
668	forced expiration	4	0
672	FE	3	0
672	forced expiratory	4	0
685	right lateral flexion	4	0
685	RLF	3	0
696	divorced	0	1
696	DV	3	1
708	BAC	3	0
708	bacterial complex	4	0
722	yellow mutant	4	0
722	ym	3	0
731	I/E	3	0
731	inspiratory/expiratory ratio	4	0
732	I/E	3	1
732	inspiratory/expiratory	0	1
733	I/E	3	1
733	internal/external	0	1
739	K/O	3	0
739	knocked out	4	0
741	K/O	3	0
741	knock out	4	0
749	langley	0	4
749	ly	3	4
755	mental institution	4	0
755	MI	3	0
764	maintenance electrolyte solution	4	0
764	MES	3	0
766	maximal electroshock	4	0
766	MES	3	0
778	obstetrics and gynecology	4	0
778	OG	3	0
779	OG	3	4
779	oligodendrocyte	0	4
785	OM	3	0
785	ovulation method	4	0
793	PAC	3	0
793	platelet-associated complement	4	0
794	PAC	3	0
794	premature atrial contraction	4	0
795	PAC	3	0
795	premature atrial contracture	4	0
798	paraoxonase	0	4
798	PON	3	4
807	LAM	3	0
807	left atrial myxoma	4	0
810	MDM	3	0
810	mid-diastolic murmur	4	0
811	YAG	3	0
811	yttrium aluminum garnet	4	0
